"","Unix","Date","Xrp.Exchange.Rate","Xrp.Authors","Xrp.Loc"
"1",1320019200,2011-10-31,NA,1,NA
"2",1322611200,2011-11-30,NA,2,NA
"3",1325289600,2011-12-31,NA,2,NA
"4",1327968000,2012-01-31,NA,2,NA
"5",1330473600,2012-02-29,NA,1,NA
"6",1333152000,2012-03-31,NA,2,NA
"7",1335744000,2012-04-30,NA,2,NA
"8",1338422400,2012-05-31,NA,3,NA
"9",1341014400,2012-06-30,NA,3,NA
"10",1343692800,2012-07-31,NA,3,NA
"11",1346371200,2012-08-31,NA,3,NA
"12",1348963200,2012-09-30,NA,4,NA
"13",1351641600,2012-10-31,NA,6,NA
"14",1354233600,2012-11-30,NA,6,NA
"15",1356912000,2012-12-31,NA,6,NA
"16",1359590400,2013-01-31,NA,4,NA
"17",1362009600,2013-02-28,NA,5,NA
"18",1364688000,2013-03-31,NA,6,NA
"19",1367280000,2013-04-30,NA,4,NA
"20",1369958400,2013-05-31,NA,5,NA
"21",1372550400,2013-06-30,NA,7,NA
"22",1375228800,2013-07-31,NA,9,NA
"23",1375660800,2013-08-05,0.005613,NA,785390
"24",1375747200,2013-08-06,0.00468,NA,782097
"25",1375833600,2013-08-07,0.004417,NA,786735
"26",1375920000,2013-08-08,0.004254,NA,787337
"27",1376006400,2013-08-09,0.004291,NA,789543
"28",1376092800,2013-08-10,0.004314,NA,789637
"29",1376179200,2013-08-11,0.004415,NA,788054
"30",1376265600,2013-08-12,0.004449,NA,787946
"31",1376352000,2013-08-13,0.004245,NA,788521
"32",1376438400,2013-08-14,0.003788,NA,788629
"33",1376524800,2013-08-15,0.003092,NA,788975
"34",1376611200,2013-08-16,0.003134,NA,789609
"35",1376697600,2013-08-17,0.005671,NA,789648
"36",1376784000,2013-08-18,0.005617,NA,790835
"37",1376870400,2013-08-19,0.00526,NA,790583
"38",1376956800,2013-08-20,0.006098,NA,790597
"39",1377043200,2013-08-21,0.006131,NA,787745
"40",1377129600,2013-08-22,0.005143,NA,787834
"41",1377216000,2013-08-23,0.005139,NA,789610
"42",1377302400,2013-08-24,0.005546,NA,789715
"43",1377388800,2013-08-25,0.006104,NA,790031
"44",1377475200,2013-08-26,0.006417,NA,642548
"45",1377561600,2013-08-27,0.006452,NA,642535
"46",1377648000,2013-08-28,0.006246,NA,645126
"47",1377820800,2013-08-30,0.00593,NA,642977
"48",1377907200,2013-08-31,0.005632,7,643118
"49",1377993600,2013-09-01,0.005787,NA,644785
"50",1378080000,2013-09-02,0.005528,NA,643086
"51",1378166400,2013-09-03,0.00567,NA,645006
"52",1378252800,2013-09-04,0.005695,NA,682180
"53",1378339200,2013-09-05,0.005715,NA,655079
"54",1378425600,2013-09-06,0.005866,NA,657804
"55",1378512000,2013-09-07,0.006173,NA,657811
"56",1378598400,2013-09-08,0.006183,NA,657882
"57",1378684800,2013-09-09,0.00627,NA,658219
"58",1378771200,2013-09-10,0.005808,NA,658876
"59",1378857600,2013-09-11,0.006273,NA,1039311
"60",1378944000,2013-09-12,0.006349,NA,661265
"61",1379030400,2013-09-13,0.006513,NA,696151
"62",1379116800,2013-09-14,0.00634,NA,663370
"63",1379203200,2013-09-15,0.006472,NA,663584
"64",1379376000,2013-09-17,0.009613,NA,663225
"65",1379462400,2013-09-18,0.010782,NA,664854
"66",1379548800,2013-09-19,0.010958,NA,663766
"67",1379635200,2013-09-20,0.010113,NA,676627
"68",1379721600,2013-09-21,0.0097,NA,676498
"69",1379808000,2013-09-22,0.010406,NA,678555
"70",1379894400,2013-09-23,0.010008,NA,685490
"71",1379980800,2013-09-24,0.010448,NA,682842
"72",1380067200,2013-09-25,0.010433,NA,690655
"73",1380153600,2013-09-26,0.011713,NA,690697
"74",1380240000,2013-09-27,0.014566,NA,691739
"75",1380326400,2013-09-28,0.013835,NA,692216
"76",1380412800,2013-09-29,0.012868,NA,692721
"77",1380499200,2013-09-30,0.010932,7,692829
"78",1380585600,2013-10-01,0.010529,NA,694617
"79",1380672000,2013-10-02,0.007862,NA,694637
"80",1380758400,2013-10-03,0.009112,NA,694600
"81",1380844800,2013-10-04,0.009873,NA,694609
"82",1380931200,2013-10-05,0.009488,NA,689017
"83",1381017600,2013-10-06,0.009819,NA,689196
"84",1381104000,2013-10-07,0.00924,NA,689504
"85",1381190400,2013-10-08,0.009451,NA,689504
"86",1381449600,2013-10-11,0.00897,NA,692035
"87",1381536000,2013-10-12,0.009382,NA,692149
"88",1381622400,2013-10-13,0.008412,NA,690803
"89",1381795200,2013-10-15,0.008051,NA,692136
"90",1381881600,2013-10-16,0.007305,NA,692473
"91",1381968000,2013-10-17,0.008343,NA,690813
"92",1382054400,2013-10-18,0.007942,NA,692141
"93",1382140800,2013-10-19,0.007252,NA,692082
"94",1382227200,2013-10-20,0.0067,NA,692105
"95",1382313600,2013-10-21,0.006634,NA,692040
"96",1382400000,2013-10-22,0.006845,NA,696120
"97",1382486400,2013-10-23,0.007873,NA,692082
"98",1382572800,2013-10-24,0.008596,NA,696150
"99",1382659200,2013-10-25,0.00686,NA,695019
"100",1382745600,2013-10-26,0.006064,NA,696085
"101",1382918400,2013-10-28,0.005942,NA,695012
"102",1383004800,2013-10-29,0.005998,NA,694363
"103",1383091200,2013-10-30,0.005854,NA,696084
"104",1383177600,2013-10-31,0.006073,8,696084
"105",1383264000,2013-11-01,0.006353,NA,696167
"106",1383436800,2013-11-03,0.00716,NA,696259
"107",1383523200,2013-11-04,0.007011,NA,696235
"108",1383609600,2013-11-05,0.00715,NA,696258
"109",1383696000,2013-11-06,0.007776,NA,695364
"110",1383782400,2013-11-07,0.008939,NA,696168
"111",1383868800,2013-11-08,0.010722,NA,696174
"112",1383955200,2013-11-09,0.008653,NA,696211
"113",1384041600,2013-11-10,0.008609,NA,696450
"114",1384128000,2013-11-11,0.008681,NA,696447
"115",1384214400,2013-11-12,0.009557,NA,696322
"116",1384300800,2013-11-13,0.010846,NA,696140
"117",1384387200,2013-11-14,0.009646,NA,696156
"118",1384473600,2013-11-15,0.009685,NA,763788
"119",1384560000,2013-11-16,0.01014,NA,740672
"120",1384646400,2013-11-17,0.010209,NA,698153
"121",1384732800,2013-11-18,0.010918,NA,698007
"122",1384819200,2013-11-19,0.007225,NA,698047
"123",1384905600,2013-11-20,0.007467,NA,697952
"124",1384992000,2013-11-21,0.009935,NA,698432
"125",1385078400,2013-11-22,0.009717,NA,763218
"126",1385164800,2013-11-23,0.009798,NA,763219
"127",1385424000,2013-11-26,0.029913,NA,763820
"128",1385510400,2013-11-27,0.024096,NA,763809
"129",1385769600,2013-11-30,0.038386,4,740749
"130",1385856000,2013-12-01,0.051497,NA,744933
"131",1385942400,2013-12-02,0.055252,NA,746903
"132",1386028800,2013-12-03,0.048672,NA,740899
"133",1386115200,2013-12-04,0.058692,NA,740717
"134",1386201600,2013-12-05,0.055153,NA,740732
"135",1386288000,2013-12-06,0.042211,NA,740849
"136",1386547200,2013-12-09,0.03893,NA,741034
"137",1386633600,2013-12-10,0.043784,NA,741035
"138",1386720000,2013-12-11,0.037937,NA,741087
"139",1386892800,2013-12-13,0.035145,NA,743799
"140",1387065600,2013-12-15,0.029137,NA,745453
"141",1387152000,2013-12-16,0.021565,NA,744094
"142",1387238400,2013-12-17,0.018313,NA,744107
"143",1387324800,2013-12-18,0.015852,NA,746163
"144",1387411200,2013-12-19,0.021073,NA,746970
"145",1387497600,2013-12-20,0.020851,NA,744107
"146",1387584000,2013-12-21,0.021684,NA,745232
"147",1387670400,2013-12-22,0.021716,NA,744350
"148",1388016000,2013-12-26,0.024385,NA,744821
"149",1388102400,2013-12-27,0.027076,NA,741614
"150",1388188800,2013-12-28,0.027303,NA,746966
"151",1388275200,2013-12-29,0.027218,NA,741526
"152",1388361600,2013-12-30,0.02746,NA,741588
"153",1388448000,2013-12-31,0.02733,9,738985
"154",1388620800,2014-01-02,0.028726,NA,746404
"155",1388707200,2014-01-03,0.027627,NA,746419
"156",1388793600,2014-01-04,0.028129,NA,746970
"157",1388880000,2014-01-05,0.025229,NA,746440
"158",1388966400,2014-01-06,0.0257,NA,739358
"159",1389052800,2014-01-07,0.022986,NA,746966
"160",1389139200,2014-01-08,0.023227,NA,744621
"161",1389225600,2014-01-09,0.022368,NA,741702
"162",1389398400,2014-01-11,0.024019,NA,742303
"163",1389571200,2014-01-13,0.021664,NA,742552
"164",1389657600,2014-01-14,0.021186,NA,750216
"165",1389744000,2014-01-15,0.022221,NA,742757
"166",1389830400,2014-01-16,0.021024,NA,742603
"167",1389916800,2014-01-17,0.02053,NA,742787
"168",1390003200,2014-01-18,0.021278,NA,742942
"169",1390262400,2014-01-21,0.019927,NA,744654
"170",1390348800,2014-01-22,0.019389,NA,744654
"171",1390435200,2014-01-23,0.018534,NA,744821
"172",1390521600,2014-01-24,0.018126,NA,755703
"173",1390780800,2014-01-27,0.018967,NA,745040
"174",1390867200,2014-01-28,0.020605,NA,745344
"175",1390953600,2014-01-29,0.020337,NA,746159
"176",1391040000,2014-01-30,0.020337,NA,750180
"177",1391126400,2014-01-31,0.020504,8,745354
"178",1391212800,2014-02-01,0.020698,NA,757005
"179",1391299200,2014-02-02,0.02156,NA,756385
"180",1391385600,2014-02-03,0.021402,NA,755667
"181",1391472000,2014-02-04,0.020997,NA,757005
"182",1391558400,2014-02-05,0.020357,NA,750260
"183",1391644800,2014-02-06,0.019752,NA,750305
"184",1391731200,2014-02-07,0.018377,NA,750108
"185",1391817600,2014-02-08,0.017487,NA,750241
"186",1392076800,2014-02-11,0.017681,NA,750237
"187",1392163200,2014-02-12,0.017174,NA,750310
"188",1392249600,2014-02-13,0.016079,NA,750486
"189",1392336000,2014-02-14,0.016367,NA,750375
"190",1392422400,2014-02-15,0.016083,NA,758003
"191",1392508800,2014-02-16,0.015338,NA,750391
"192",1392595200,2014-02-17,0.015293,NA,757702
"193",1392768000,2014-02-19,0.015237,NA,758612
"194",1392854400,2014-02-20,0.014251,NA,758109
"195",1392940800,2014-02-21,0.01507,NA,750677
"196",1393027200,2014-02-22,0.015682,NA,750684
"197",1393113600,2014-02-23,0.015412,NA,750674
"198",1393286400,2014-02-25,0.01299,NA,758129
"199",1393372800,2014-02-26,0.014093,NA,758123
"200",1393545600,2014-02-28,0.013666,8,758058
"201",1393632000,2014-03-01,0.013799,NA,760476
"202",1393718400,2014-03-02,0.013543,NA,759838
"203",1393804800,2014-03-03,0.015596,NA,758755
"204",1393891200,2014-03-04,0.016135,NA,758846
"205",1393977600,2014-03-05,0.016008,NA,758651
"206",1394064000,2014-03-06,0.015921,NA,758757
"207",1394150400,2014-03-07,0.015009,NA,760982
"208",1394236800,2014-03-08,0.014404,NA,759512
"209",1394323200,2014-03-09,0.014745,NA,758806
"210",1394409600,2014-03-10,0.014745,NA,760160
"211",1394496000,2014-03-11,0.014279,NA,758847
"212",1394582400,2014-03-12,0.014353,NA,759793
"213",1394668800,2014-03-13,0.014333,NA,758887
"214",1394755200,2014-03-14,0.014198,NA,759623
"215",1394841600,2014-03-15,0.014345,NA,759484
"216",1394928000,2014-03-16,0.014306,NA,794607
"217",1395014400,2014-03-17,0.014112,NA,759623
"218",1395100800,2014-03-18,0.01405,NA,760087
"219",1395187200,2014-03-19,0.013963,NA,806422
"220",1395273600,2014-03-20,0.013638,NA,760551
"221",1395360000,2014-03-21,0.01325,NA,765685
"222",1395446400,2014-03-22,0.012954,NA,740363
"223",1395619200,2014-03-24,0.012871,NA,794517
"224",1395705600,2014-03-25,0.01283,NA,735178
"225",1395792000,2014-03-26,0.012594,NA,737856
"226",1395878400,2014-03-27,0.010226,NA,737743
"227",1395964800,2014-03-28,0.010551,NA,735195
"228",1396224000,2014-03-31,0.008785,10,754615
"229",1396310400,2014-04-01,0.008757,NA,737694
"230",1396396800,2014-04-02,0.007922,NA,739491
"231",1396483200,2014-04-03,0.007944,NA,741116
"232",1396569600,2014-04-04,0.008094,NA,737465
"233",1396828800,2014-04-07,0.008035,NA,737500
"234",1397001600,2014-04-09,0.007866,NA,740042
"235",1397088000,2014-04-10,0.006318,NA,741327
"236",1397174400,2014-04-11,0.006582,NA,740208
"237",1397347200,2014-04-13,0.005987,NA,740507
"238",1397433600,2014-04-14,0.006518,NA,740986
"239",1397520000,2014-04-15,0.007719,NA,741170
"240",1397606400,2014-04-16,0.007023,NA,743726
"241",1397692800,2014-04-17,0.006339,NA,743724
"242",1397779200,2014-04-18,0.00621,NA,743991
"243",1398038400,2014-04-21,0.006142,NA,806816
"244",1398124800,2014-04-22,0.006059,NA,799945
"245",1398211200,2014-04-23,0.00611,NA,743767
"246",1398297600,2014-04-24,0.006069,NA,743728
"247",1398384000,2014-04-25,0.005491,NA,803740
"248",1398470400,2014-04-26,0.005394,NA,794451
"249",1398556800,2014-04-27,0.004859,NA,744400
"250",1398643200,2014-04-28,0.005139,NA,743731
"251",1398729600,2014-04-29,0.005362,NA,744337
"252",1398816000,2014-04-30,0.005364,10,744289
"253",1398902400,2014-05-01,0.005413,NA,744335
"254",1398988800,2014-05-02,0.005315,NA,744220
"255",1399161600,2014-05-04,0.005024,NA,743309
"256",1399248000,2014-05-05,0.005214,NA,744540
"257",1399334400,2014-05-06,0.005973,NA,799277
"258",1399420800,2014-05-07,0.006351,NA,743790
"259",1399507200,2014-05-08,0.00608,NA,800001
"260",1399593600,2014-05-09,0.006063,NA,799919
"261",1399680000,2014-05-10,0.005975,NA,752752
"262",1399852800,2014-05-12,0.005937,NA,743495
"263",1399939200,2014-05-13,0.00634,NA,799130
"264",1400025600,2014-05-14,0.007154,NA,799418
"265",1400112000,2014-05-15,0.007099,NA,799172
"266",1400198400,2014-05-16,0.00691,NA,806856
"267",1400371200,2014-05-18,0.006004,NA,799204
"268",1400544000,2014-05-20,0.006711,NA,848929
"269",1400716800,2014-05-22,0.003993,NA,860105
"270",1400803200,2014-05-23,0.003315,NA,806474
"271",1400976000,2014-05-25,0.003646,NA,806852
"272",1401062400,2014-05-26,0.003799,NA,854108
"273",1401148800,2014-05-27,0.004643,NA,861287
"274",1401235200,2014-05-28,0.005005,NA,806881
"275",1401321600,2014-05-29,0.004791,NA,806856
"276",1401494400,2014-05-31,0.004146,12,806856
"277",1401580800,2014-06-01,0.004092,NA,806862
"278",1401753600,2014-06-03,0.004385,NA,848708
"279",1401840000,2014-06-04,0.003952,NA,911653
"280",1401926400,2014-06-05,0.003841,NA,911627
"281",1402012800,2014-06-06,0.003916,NA,848815
"282",1402272000,2014-06-09,0.004225,NA,848778
"283",1402358400,2014-06-10,0.004547,NA,848830
"284",1402531200,2014-06-12,0.004048,NA,848767
"285",1402617600,2014-06-13,0.004161,NA,848766
"286",1402790400,2014-06-15,0.004197,NA,848811
"287",1402876800,2014-06-16,0.004173,NA,848142
"288",1402963200,2014-06-17,0.004264,NA,848626
"289",1403049600,2014-06-18,0.004247,NA,848836
"290",1403136000,2014-06-19,0.00423,NA,854233
"291",1403222400,2014-06-20,0.004188,NA,848051
"292",1403481600,2014-06-23,0.004085,NA,854133
"293",1403568000,2014-06-24,0.004049,NA,847759
"294",1403654400,2014-06-25,0.003931,NA,858878
"295",1403740800,2014-06-26,0.004051,NA,854233
"296",1403913600,2014-06-28,0.003923,NA,854132
"297",1404086400,2014-06-30,0.00378,13,854105
"298",1404259200,2014-07-02,0.003484,NA,854233
"299",1404345600,2014-07-03,0.00336,NA,859375
"300",1404432000,2014-07-04,0.003246,NA,859530
"301",1404518400,2014-07-05,0.003132,NA,859342
"302",1404691200,2014-07-07,0.003082,NA,859532
"303",1404777600,2014-07-08,0.0033,NA,859526
"304",1404864000,2014-07-09,0.003879,NA,860044
"305",1404950400,2014-07-10,0.004074,NA,859935
"306",1405036800,2014-07-11,0.004298,NA,859555
"307",1405123200,2014-07-12,0.004317,NA,859597
"308",1405296000,2014-07-14,0.004367,NA,860071
"309",1405382400,2014-07-15,0.004514,NA,860122
"310",1405468800,2014-07-16,0.004898,NA,860284
"311",1405555200,2014-07-17,0.006162,NA,861077
"312",1405641600,2014-07-18,0.006364,NA,860129
"313",1405900800,2014-07-21,0.005362,NA,875733
"314",1405987200,2014-07-22,0.005643,NA,860288
"315",1406073600,2014-07-23,0.006144,NA,861845
"316",1406160000,2014-07-24,0.005929,NA,860326
"317",1406246400,2014-07-25,0.006043,NA,860558
"318",1406505600,2014-07-28,0.006157,NA,861274
"319",1406592000,2014-07-29,0.006066,NA,861283
"320",1406764800,2014-07-31,0.005189,11,891988
"321",1406851200,2014-08-01,0.005369,NA,861285
"322",1407024000,2014-08-03,0.005215,NA,886208
"323",1407110400,2014-08-04,0.004948,NA,875316
"324",1407196800,2014-08-05,0.005104,NA,875565
"325",1407283200,2014-08-06,0.005256,NA,875991
"326",1407369600,2014-08-07,0.005343,NA,875921
"327",1407456000,2014-08-08,0.005462,NA,875710
"328",1407542400,2014-08-09,0.005242,NA,875897
"329",1407628800,2014-08-10,0.004975,NA,875818
"330",1407715200,2014-08-11,0.005214,NA,875718
"331",1407801600,2014-08-12,0.005044,NA,875825
"332",1407974400,2014-08-14,0.005227,NA,884229
"333",1408060800,2014-08-15,0.00541,NA,894313
"334",1408233600,2014-08-17,0.005177,NA,876052
"335",1408406400,2014-08-19,0.005051,NA,884239
"336",1408492800,2014-08-20,0.005265,NA,884275
"337",1408579200,2014-08-21,0.005117,NA,886247
"338",1408665600,2014-08-22,0.005095,NA,884396
"339",1408924800,2014-08-25,0.004974,NA,886263
"340",1409011200,2014-08-26,0.004837,NA,885643
"341",1409097600,2014-08-27,0.005015,NA,1008027
"342",1409184000,2014-08-28,0.005062,NA,892553
"343",1409270400,2014-08-29,0.005017,NA,886193
"344",1409356800,2014-08-30,0.004961,NA,886869
"345",1409443200,2014-08-31,0.004887,15,886204
"346",1409529600,2014-09-01,0.005025,NA,886283
"347",1409616000,2014-09-02,0.004641,NA,886286
"348",1409702400,2014-09-03,0.004776,NA,885838
"349",1409788800,2014-09-04,0.004805,NA,886246
"350",1409875200,2014-09-05,0.004874,NA,886440
"351",1409961600,2014-09-06,0.004795,NA,886610
"352",1410134400,2014-09-08,0.004711,NA,886499
"353",1410220800,2014-09-09,0.004719,NA,886500
"354",1410307200,2014-09-10,0.00475,NA,887025
"355",1410393600,2014-09-11,0.004749,NA,887279
"356",1410480000,2014-09-12,0.004713,NA,886235
"357",1410566400,2014-09-13,0.004706,NA,886824
"358",1410739200,2014-09-15,0.00505,NA,886882
"359",1410825600,2014-09-16,0.005124,NA,886888
"360",1410912000,2014-09-17,0.005399,NA,886898
"361",1410998400,2014-09-18,0.005135,NA,886944
"362",1411084800,2014-09-19,0.004942,NA,887257
"363",1411171200,2014-09-20,0.004772,NA,887294
"364",1411257600,2014-09-21,0.00457,NA,887334
"365",1411344000,2014-09-22,0.004657,NA,894097
"366",1411430400,2014-09-23,0.004613,NA,887141
"367",1411516800,2014-09-24,0.004668,NA,887118
"368",1411603200,2014-09-25,0.004722,NA,887353
"369",1411689600,2014-09-26,0.004616,NA,886596
"370",1411776000,2014-09-27,0.004705,NA,1018171
